,Layer,duration_time,timestamp,packet_length,payload_length
8074,TCP,2020-04-03 14:52:46.509753,1585905766.509753,66,371
8075,TCP,2020-04-03 14:52:46.610465,1585905766.610465,190,371
8076,TCP,2020-04-03 14:52:46.610507,1585905766.610507,66,371
8077,TCP,2020-04-03 14:52:46.674140,1585905766.67414,302,3
8078,TCP,2020-04-03 14:52:46.674549,1585905766.674549,1614,1
8079,TCP,2020-04-03 14:52:46.674611,1585905766.674611,66,1
8080,TCP,2020-04-03 14:52:46.675308,1585905766.675308,302,3
8081,TCP,2020-04-03 14:52:46.675540,1585905766.67554,1614,1
8082,TCP,2020-04-03 14:52:46.684389,1585905766.684389,349,3
8083,TCP,2020-04-03 14:52:46.685490,1585905766.68549,1907,1
8084,TCP,2020-04-03 14:52:46.686686,1585905766.686686,349,3
8085,TCP,2020-04-03 14:52:46.687554,1585905766.687554,1907,1
8086,TCP,2020-04-03 14:52:46.688252,1585905766.688252,349,3
8087,TCP,2020-04-03 14:52:46.688824,1585905766.688824,1907,1
8088,TCP,2020-04-03 14:52:46.689488,1585905766.689488,349,3
8089,TCP,2020-04-03 14:52:46.690114,1585905766.690114,1907,1
8090,TCP,2020-04-03 14:52:46.690783,1585905766.690783,349,3
8091,TCP,2020-04-03 14:52:46.691384,1585905766.691384,1907,1
8092,TCP,2020-04-03 14:52:46.692045,1585905766.692045,349,3
8093,TCP,2020-04-03 14:52:46.692640,1585905766.69264,1907,1
8094,TCP,2020-04-03 14:52:46.703313,1585905766.703313,267,3
8095,TCP,2020-04-03 14:52:46.703584,1585905766.703584,1009,1
8096,TCP,2020-04-03 14:52:46.712001,1585905766.712001,190,371
8097,TCP,2020-04-03 14:52:46.712588,1585905766.712588,66,371
8098,TCP,2020-04-03 14:52:46.712599,1585905766.712599,249,3
8099,TCP,2020-04-03 14:52:46.712829,1585905766.712829,1427,1
8100,TCP,2020-04-03 14:52:46.719930,1585905766.71993,349,3
8101,TCP,2020-04-03 14:52:46.721572,1585905766.721572,1907,1
8102,TCP,2020-04-03 14:52:46.722587,1585905766.722587,349,3
8103,TCP,2020-04-03 14:52:46.723212,1585905766.723212,1907,1
8104,TCP,2020-04-03 14:52:46.724518,1585905766.724518,282,3
8105,TCP,2020-04-03 14:52:46.725174,1585905766.725174,16450,209
8106,TCP,2020-04-03 14:52:46.725495,1585905766.725495,16450,125
8107,TCP,2020-04-03 14:52:46.725804,1585905766.725804,16450,215
8108,TCP,2020-04-03 14:52:46.726060,1585905766.72606,66,215
